client_code,product,push_notification
39,Премиальная карта,"Ляззат, премиальная карта для активных клиентов\n\nЛяззат, у вас депозит и стабильные обороты — премиальная карта даст до 4% кешбэк и бесплатные переводы по Казахстану. Оформить карту."
40,Кредитная карта,"**Больше кешбэка с ваших трат**\n\nАсхат, вы часто тратите на продукты, рестораны и такси. Кредитная карта даст до 10% кешбэка в любимых категориях плюс 2 месяца без процентов. Оформить карту"
41,Премиальная карта,"Сандугаш, ваш депозит работает отлично! Премиальная карта дополнит его — 2-4% кешбэк с покупок и бесплатные переводы. Двойная выгода от средств. Оформить карту."
42,Депозит сберегательный,"**Рустем, ваш депозит скоро завершается**\n\nКак премиальный клиент, вы можете продлить сберегательный депозит под 16,50% годовых. Средства останутся защищенными и будут приносить максимальный доход. Продлить депозит."
43,Кредитная карта,"**Больше кешбэка с ваших трат**\n\nНуртас, ваши топ-категории — продукты, рестораны и такси. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
44,Кредитная карта,"**Кредитная карта для ваших любимых трат**\n\nАйнагуль, ваши топ-категории — продукты питания, кафе и рестораны, такси. Кредитная карта даёт до 10% кешбэка в любимых категориях плюс рассрочку до 24 месяцев. Оформить карту"
45,Кредитная карта,"**Диана, ваши топ-категории — ремонт дома, ювелирные украшения и рестораны**\n\nУ вас отличный вкус в тратах! Кредитная карта даст до 10% кешбэка в любимых категориях и на онлайн-сервисы. Плюс 2 месяца без переплат.\n\nОформить карту"
46,Кредитная карта,"**Больше кешбэка с ваших трат**\n\nАрсен, вы часто тратите на продукты, рестораны и такси. Кредитная карта даст до 10% кешбэка в любимых категориях плюс 10% на онлайн-услуги. Оформить карту"
47,Кредитная карта,"**Камшат, больше кешбэка с тратами!**\n\nВаши топ-категории — продукты, рестораны и такси. Кредитная карта даёт до 10% в любимых категориях плюс 2 месяца без переплат. Оформить карту."
48,Кредитная карта,"**Ержан, выгода в ваших тратах!**\n\nВаши топ-категории — продукты, рестораны и такси. Кредитная карта даёт до 10% кешбэка в любимых категориях, которые вы выбираете каждый месяц, плюс 10% на онлайн-услуги. Оформить карту"
49,Премиальная карта,"**Амина, время для премиальных возможностей**\n\nАмина, вы уже освоили инвестиции — отличный старт! Премиальная карта станет идеальным дополнением: 2-4% кешбэк на все покупки и бесплатные переводы. Оформить карту."
50,Депозит сберегательный,"**Тимурлан, время зафиксировать прибыль?**\n\nВидим активность в инвестициях — отличная стратегия. Сберегательный депозит под 16,50% поможет диверсифицировать портфель и гарантированно приумножить часть средств. Открыть вклад."
51,Премиальная карта,"**Жанат, время для премиальных возможностей**\n\nЖанат, вы уже инвестируете — отличный старт! Премиальная карта дополнит ваш портфель: 2-4% кешбэк с покупок, бесплатные переводы и снятие наличных до 3 млн ₸/мес. Оформить карту."
52,Депозит сберегательный,"Милана, время зафиксировать прибыль?\n\nВаш инвестиционный портфель активно работает. Сберегательный депозит под 16,50% поможет сохранить часть средств с гарантированным доходом. Диверсификация снижает риски и стабилизирует доходность.\n\nОткрыть депозит"
53,Премиальная карта,"**Расул, время для премиум-уровня**\n\nРасул, вы активно инвестируете и показываете финансовую грамотность. Премиальная карта даст вам 2-4% кешбэк с покупок, бесплатные переводы и снятие наличных по миру до 3 млн ₸/мес. Оформить карту"
54,Депозит сберегательный,"**Виктория, стабильный доход — это отлично!**\n\nВиктория, вы активно инвестируете, но часть средств можно разместить на сберегательном депозите под 16,50%. Гарантированный доход без рисков — хорошее дополнение к портфелю. Открыть вклад."
55,Депозит сберегательный,"**Увеличьте доходность вложений**\n\nАсель, вы уже инвестируете в золото — отличная стратегия! Дополните портфель сберегательным депозитом под 16,50% годовых. Надёжная защита KDIF и стабильный доход. Открыть вклад."
56,Карта для путешествий,"**Нуркен, пора в путь!**\n\nВ августе заметили ваши поездки. Карта для путешествий вернёт 4% кешбэка на такси, авиабилеты и отели. Плюс привилегии Visa Signature для комфортных поездок.\n\nОформить карту"
57,Депозит сберегательный,"**Жания, удвойте доходность сбережений**\n\nВы уже инвестируете в золото — отличное решение для сохранения капитала. Дополните портфель сберегательным депозитом под 16,50% годовых с защитой KDIF. Открыть вклад"
58,Кредитная карта,"Султан, ваши топ-категории — продукты, рестораны и такси. Кредитная карта даёт до 10% кешбэка в любимых категориях и на онлайн-сервисы. Оформить карту."
59,Депозит сберегательный,"**Динара, время укрепить портфель**\n\nВы уже инвестируете в золото — мудрое решение. Сберегательный депозит под 16,50% дополнит стратегию: стабильный доход плюс защита средств. Открыть депозит"
60,Кредитная карта,"**Больше кешбэка с ваших трат**\n\nЕрмек, ваши топ-категории — продукты, рестораны и такси. Кредитная карта даёт до 10% в любимых категориях и на онлайн-сервисы. Оформить карту."
